id	name	node_type
3992	FADS1	Gene
4001	LMNB1	Gene
4004	LMO1	Gene
401613	SERTM2	Gene
4023	LPL	Gene
4050	LTB	Gene
4051	CYP4F3	Gene
4052	LTBP1	Gene
4055	LTBR	Gene
4067	LYN	Gene
406936	MIR144	Gene
406938	MIR146A	Gene
406951	MIR16-2	Gene
406963	MIR187	Gene
406965	MIR190A	Gene
406966	MIR191	Gene
406978	MIR199B	Gene
406979	MIR19A	Gene
406987	MIR204	Gene
406988	MIR205	Gene
406994	MIR212	Gene
407006	MIR221	Gene
407009	MIR224	Gene
407010	MIR23A	Gene
407040	MIR34A	Gene
407041	MIR34B	Gene
407054	MIR98	Gene
4081	MAB21L1	Gene
4084	MXD1	Gene
4088	SMAD3	Gene
4097	MAFG	Gene
4134	MAP4	Gene
4189	DNAJB9	Gene
4193	MDM2	Gene
4199	ME1	Gene
4204	MECP2	Gene
4205	MEF2A	Gene
4209	MEF2D	Gene
4211	MEIS1	Gene
4217	MAP3K5	Gene
422408	GUCY1B3	Gene
4236	MFAP1	Gene
4241	MELTF	Gene
4254	KITLG	Gene
4286	MITF	Gene
4288	MKI67	Gene
4314	MMP3	Gene
4322	MMP13	Gene
4336	MOBP	Gene
4352	MPL	Gene
4353	MPO	Gene
442895	MIR302C	Gene
442898	MIR324	Gene
4489	MT1A	Gene
4495	MT1G	Gene
4501	MT1X	Gene
4547	MTTP	Gene
4599	MX1	Gene
4600	MX2	Gene
4602	MYB	Gene
4615	MYD88	Gene
4616	GADD45B	Gene
4636	MYL5	Gene
4664	NAB1	Gene
4665	NAB2	Gene
467	ATF3	Gene
468	ATF4	Gene
4683	NBN	Gene
4688	NCF2	Gene
4698	NDUFA5	Gene
47	ACLY	Gene
4729	NDUFV2	Gene
4739	NEDD9	Gene
4741	NEFM	Gene
4772	NFATC1	Gene
4775	NFATC3	Gene
4780	NFE2L2	Gene
4781	NFIB	Gene
4800	NFYA	Gene
483	ATP1B3	Gene
4851	NOTCH1	Gene
486	FXYD2	Gene
4864	NPC1	Gene
488	ATP2A2	Gene
4939	OAS2	Gene
4942	OAT	Gene
494329	MIR380	Gene
494332	MIR383	Gene
4957	ODF2	Gene
4998	ORC1	Gene
5007	OSBP	Gene
5025	P2RX4	Gene
5027	P2RX7	Gene
5048	PAFAH1B1	Gene
50511	SYCP3	Gene
50549	CYP4A1	Gene
5055	SERPINB2	Gene
50615	IL21R	Gene
50708	H1F2	Gene
50943	FOXP3	Gene
51005	AMDHD2	Gene
51029	DESI2	Gene
5105	PCK1	Gene
51084	CRYL1	Gene
5111	PCNA	Gene
5119	CHMP1A	Gene
51191	HERC5	Gene
5125	PCSK5	Gene
51256	TBC1D7	Gene
51260	PBDC1	Gene
51296	SLC15A3	Gene
51305	KCNK9	Gene
51340	CRNKL1	Gene
51366	UBR5	Gene
51386	EIF3L	Gene
51400	PPME1	Gene
5141	PDE4A	Gene
51426	POLK	Gene
5144	PDE4D	Gene
51449	PCYOX1	Gene
51479	ANKFY1	Gene
5154	PDGFA	Gene
51552	RAB14	Gene
51567	TDP2	Gene
51599	LSR	Gene
51621	KLF13	Gene
51669	SARAF	Gene
5168	ENPP2	Gene
51762	RAB8B	Gene
5196	PF4	Gene
5199	CFP	Gene
5202	PFDN2	Gene
5207	PFKFB1	Gene
521	ATP5ME	Gene
5218	CDK14	Gene
5224	PGAM2	Gene
5230	PGK1	Gene
5241	PGR	Gene
5243	ABCB1	Gene
5250	SLC25A3	Gene
526	ATP6V1B2	Gene
5292	PIM1	Gene
5293	PIK3CD	Gene
5321	PLA2G4A	Gene
5325	PLAGL1	Gene
5329	PLAUR	Gene
5366	PMAIP1	Gene
53918	PELO	Gene
5431	POLR2B	Gene
54345	SOX18	Gene
54407	SLC38A2	Gene
54443	ANLN	Gene
5447	POR	Gene
54502	RBM47	Gene
54509	RHOF	Gene
54578	UGT1A6	Gene
546	ATRX	Gene
5473	PPBP	Gene
54758	KLHDC4	Gene
54877	ZCCHC2	Gene
54890	ALKBH5	Gene
54898	ELOVL2	Gene
54902	TTC19	Gene
54925	ZSCAN32	Gene
54936	ADPRS	Gene
54995	OXSM	Gene
5500	PPP1CB	Gene
55000	TUG1	Gene
55072	RNF31	Gene
55147	RBM23	Gene
55167	MSL2	Gene
5518	PPP2R1A	Gene
55201	MAP1S	Gene
55209	SETD5	Gene
55250	ELP2	Gene
55254	TMEM39A	Gene
55287	TMEM40	Gene
55298	RNF121	Gene
5532	PPP3CB	Gene
55342	STRBP	Gene
55361	PI4K2A	Gene
55365	TMEM176A	Gene
55422	ZNF331	Gene
5552	SRGN	Gene
